coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,quote_id,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_id,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Mon Sep 13 07:37:20 +0000 2021,lwów lem roklema,https://twitter.com/lwowskibaciar/status/1437319472310784001/photo/1,,56,1437319472310784001,,,,pl,,false,,14,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","13 września 1921 roku urodził się Stanisław Lem. Dla lwowiaków pisarz niezwykle ważny, jego Wysoki Zamek był jedną z pierwszych książek w PRL wspominających Lwów. Nazwa miasta w niej nie padła, ale tytuł mówił wszystko. A wy z jaką książka kojarzycie Lema?

#lwów #lem #roklema https://t.co/oPRYhcFfIB",https://twitter.com/lwowskibaciar/status/1437319472310784001,Tue Jul 18 05:34:32 +0000 2017,887183787137912832,false,"Piszę o najpiękniejszym mieście na świecie🦁

https://t.co/Jx0kKN3XRw",3950,3878,318,4,Lwów,Lwowski Baciar,lwowskibaciar,1669,,,false
,Mon Sep 13 10:12:00 +0000 2021,,,,0,1437358393468018692,,,,pl,,,,3,1437353865557553154,RadiowaDwojka,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","100 lat temu na świat przyszedł Stanisław Lem.
Dwójka świętuje tę rocznicę przez cały tydzień, a nawet dłużej!
12:45 Zapiski ze współczesności (pn.-pt.) – ""Mój Lem"", 
15:00 Literacka sjesta (pn.-pt.) „Solaris"" czyta Piotr Fronczewski
21:30 Wszystkie gatunki Lema – Lwowianin https://t.co/O2saszw21n",https://twitter.com/agadyczkowska/status/1437358393468018692,Wed Dec 09 08:27:27 +0000 2020,1336588203537666048,false,"""Powiedz, skąd u Ciebie taki spokój, gdy zapałkę znów Ci gasi deszcz, tak na raz ?""",6316,20,316,0,Warszawa,AgaDyczkowska,agadyczkowska,377,,,false
,Mon Sep 13 08:34:34 +0000 2021,,,,0,1437333872258260992,,,,pl,,,,12,1437330206595772417,Historia_PR,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Była tu i najgłębiej osobista niechęć do powrotów do spraw najstraszniejszych (w 1941 roku Lem znalazł się w grupie Żydów zmuszonych przez Niemców do wynoszenia zamordowanych z więzienia ""Brygidki""), była i próba niewskazywania na swoje żydowskie korzenie. https://t.co/O9PohOfeh7",https://twitter.com/polskieradiopl/status/1437333872258260992,Wed Nov 21 11:49:07 +0000 2012,962252628,false,🏛️ https://t.co/K1nOx4ijL8 📲 Aplikacja https://t.co/0H1gIjJaC4 🎧YouTube https://t.co/4XXbmShOkP 📸Instagram https://t.co/aW1VN2d2nX…,9540,32000,727,180,Polska,Polskie Radio,polskieradiopl,120896,,http://www.PolskieRadio.pl,true
,Mon Sep 13 11:22:05 +0000 2021,,,,1,1437376029170020352,AgaHerrmann,1437315051610836992,1273177650,pl,,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@AgaHerrmann @SpodLasku A po wojnie Lem napisał tam Solaris i nie tylko.,https://twitter.com/SrogiJeniec/status/1437376029170020352,Mon Aug 26 15:24:57 +0000 2019,1166008524826120192,false,"Nie biorę jeńców, połykam w całości.",31267,523,2411,0,,SJ,SrogiJeniec,9469,,,false
,Mon Sep 13 10:07:41 +0000 2021,,https://twitter.com/PWr_Wroclaw/status/1437357306585526276/photo/1,https://wroclaw.tech/100-lat-lema,9,1437357306585526276,,,,pl,,false,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","100 lat temu urodził się Stanisław Lem, a 40 lat temu został doktorem honoris causa PWr. 

Jeśli chcecie dowiedzieć się, jak świętujemy tę podwójną rocznicę, albo jakim samochodem jeździł pisarz, zajrzyjcie tutaj: https://t.co/mn79xwOfTK

Fot. Jerzy Hutnik. https://t.co/VvbaIbhRI0",https://twitter.com/PWr_Wroclaw/status/1437357306585526276,Tue Feb 14 08:37:28 +0000 2012,492032491,false,"Politechnika Wrocławska/Wroclaw University of Science and Technology. Member of @Unite_tech_univ
#najlepiejPWr #wrocławtech",16081,8234,282,89,"Wrocław, Polska",Politechnika Wrocławska,PWr_Wroclaw,20694,,http://pwr.edu.pl,false
,Mon Sep 13 08:44:58 +0000 2021,,,https://wszystkoconajwazniejsze.pl/marcin-jakubowski-lem-czlowiek-renesansu/,0,1437336489076080641,,,,pl,,false,,14,1406662518093799428,jakmarcin,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Kilka słów o Lemie z mojej osobistej perspektywy. https://t.co/QdEazm4b7M,https://twitter.com/Najwazniejsze/status/1437336489076080641,Tue Dec 24 20:32:47 +0000 2013,2260681322,false,"Magazyn opinii ""Wszystko Co Najwazniejsze"" pod red. prof. Michała Kleibera. Jesteśmy w EMPIKAch, dobrych księgarniach i wysyłkowo➡️: https://t.co/ZMf3sGf7Dc",5457,19685,10404,124,"Warszawa, Polska",Wszystko Co Najważniejsze,Najwazniejsze,32557,,http://www.wszystkoconajwazniejsze.pl,false
,Mon Sep 13 09:43:43 +0000 2021,,,,0,1437351275264364547,,,,pl,,,,1,1437310548807462915,LemaInstytut,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Dziś prawdziwa 100 rocznica urodzin Lema! Wczoraj frekwencja na festiwalu przerosła nasze najśmielsze oczekiwania. Lem pisał, że ""Nic się teraz nie starzeje tak szybko, jak przyszłość"". Dlatego o tej przyszłości chcemy mówić. Bądźcie z nami dziś, jutro. To nasze wspólne święto! https://t.co/XTWGSVGkFj",https://twitter.com/szym_tom/status/1437351275264364547,Wed Sep 25 17:43:26 +0000 2013,1904903574,false,#creativecollaboration | https://t.co/T4XcKffxa7 | #Łemko | #Polkowice | Oszczędzaj chaos,135395,630,1482,41,,Tomasz Szymanski 🇺🇦,szym_tom,12513,,http://beginningagency.com,false
,Mon Sep 13 08:43:09 +0000 2021,,,,1,1437336035361447937,RZPQ_67,1437334462002520064,883032825670377500,pl,,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@RZPQ_67 Właśnie wiem, ale tym razem była zabawa w ciekawostki ""na lekko"" i ""na popularno"", zresztą poważne artykuły już popełniono na culture, ja chciałabym powiedzieć, że nie taki Lem ""poważny"" jakim go chwilami malują. 😉",https://twitter.com/w_sercu_ksiazki/status/1437336035361447937,Sun Jan 12 10:46:36 +0000 2020,1216310448380874752,false,"Porozmawiajmy o ciekawych książkach i serialach, kulturowych nowinkach oraz czytelniczych obyczajach!🧡📖💚📚",34655,664,277,4,Poland,W sercu książki,w_sercu_ksiazki,2804,,http://w-sercu-ksiazki.blogspot.com/,false
,Mon Sep 13 10:28:21 +0000 2021,,,https://wpolityce.pl/kultura/566097-setne-urodziny-stanislawa-lema-patrona-roku-2021,13,1437362507824484355,,,,pl,,false,,3,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","100 lat temu urodził się Stanisław Lem – pisarz, futurolog, filozof, patron roku 2021. ""Jeden z najwybitniejszych polskich prozaików"" https://t.co/b4ZOXXuiyF",https://twitter.com/wPolityce_pl/status/1437362507824484355,Wed Jun 09 13:54:54 +0000 2010,153802461,false,Najsilniejszy portal po stronie prawdy. Uczciwy punkt widzenia. Zapraszamy!,326,162589,1258,515,Polska/Poland,wPolityce.pl,wPolityce_pl,196641,,http://www.wPolityce.pl,false
,Mon Sep 13 09:10:56 +0000 2021,,,,0,1437343026330877952,,,,pl,,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",100 lat temu urodził się Stanisław Lem,https://twitter.com/sosnowskimarek/status/1437343026330877952,Sat May 07 20:35:32 +0000 2011,294813675,false,"filozof, autor, typograf, lider kulturalny, człowiek pełną gębą
@clowiek",849,136,528,3,"Wrocław, Polska",@clowiek,sosnowskimarek,5599,,http://fb.com/clowiekmm,false
